name,Image_link,src,Price
Native Seeds Kit Pack of 27,https://www.seedbasket.in/image/cache/catalog/Products/Non%20Hybrid/GardenSeedsKit-228x228-0.jpg,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Native-Seeds-Kit%20?limit=100,₹668 ₹860
Pumpkin ( 25 seeds),https://www.seedbasket.in/image/cache/catalog/Products/Non%20Hybrid/Pumpkin-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Buy-Pumpkin-Seeds-Online?limit=100,₹40
Radish Red Globe (50 Seeds),https://www.seedbasket.in/image/cache/catalog/Updated%20Images/Raddish-Red-Globe-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Buy-Radish-Red-Globe-Seeds-Online?limit=100,₹40
Red Amaranth (1400+ Seeds),https://www.seedbasket.in/image/cache/catalog/Products/Non%20Hybrid/WhatsApp%20Image%202021-09-22%20at%2021.03.39-228x228-0.jpeg,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Buy-Red-Amaranth-seeds-online?limit=100,₹40
Siri kura (1400+ Seeds),https://www.seedbasket.in/image/cache/catalog/Products/Non%20Hybrid/Sirikura-Seeds-228x228-0.jpg,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Buy-Sirikura-seeds-online?limit=100,₹30
Sorrel Leaves(Gongura White) (300+ Seeds),https://www.seedbasket.in/image/cache/catalog/Updated%20Images/Sorrel-Leaves-White-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/SorrelLeaves(GonguraWhite)?limit=100,₹30 ₹40
Summer Vegetables Seeds Kit Pack of 14,https://www.seedbasket.in/image/cache/catalog/Products/Kits/Summer-Vegetable-Seeds-SB-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Summer-Vegetables-Seeds-Kit-At-Home-Garden?limit=100,₹390
Tinda Indian Round Gourd,https://www.seedbasket.in/image/cache/catalog/Updated%20Images/Tinda-Indian-Round-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Buy-Tinda-Seeds-Online?limit=100,₹40
Vegetable seeds kit pack of 16,https://www.seedbasket.in/image/cache/catalog/Products/Non%20Hybrid/VegetableSeedsKit-16-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/vegetable-seeds-combo-pack?limit=100,₹478 ₹540
Well Grow Plant Food (100 Grams),https://www.seedbasket.in/image/cache/catalog/Products/Plant-Micro-Nutrient-228x228-1966935349.jpeg,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Buy-Micro-Nutrient-Plant-Food-Online?limit=100,₹150 ₹200
Winter Vegetables Seeds Kit Pack of 10,https://www.seedbasket.in/image/cache/catalog/Products/Kits/Winter-Veg-1-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Winter-Vegetables-Seeds-Kit-At-Home-Garden?limit=100,₹280
Zucchini Summer Squash Long (20 Seeds),https://www.seedbasket.in/image/cache/catalog/Updated%20Images/Zucchini-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Buy-Zucchini-Seeds-Online?limit=100,₹40
Bachali/Malabar Spinach(350+ Seeds),https://www.seedbasket.in/image/cache/catalog/Updated%20Images/Bachali%20(1)-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Buy-Malabar-Spinach-Seeds-online?limit=100,₹30 ₹40
Beetroot (100 Seeds),https://www.seedbasket.in/image/cache/catalog/Updated%20Images/Beetroot-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Buy-Beetroot-Seeds-Online?limit=100,₹40
